Carrier,Primary energy supply [PJ]
Coal and coal products,1713.0
Natural gas,730.2
Oil and petroleum products,1245.1
Biofuels,525.2
Renewables,17.0
Electricity,47.8
Heat,1.1
Non-renewable waste,44.8
