Carrier,Industry,Transport - road,Transport - international aviation and navigation,Transport - other,Buildings,Agriculture,Energy sector - energy use,Carrier production - self-consumption,Gross total,Net total
Coal and coal products,136.0,0.0,0.0,0.0,229.1,30.8,44.0,1.0,440.9,439.9
Natural gas,246.4,0.7,0.0,15.8,212.5,1.6,46.6,16.0,539.6,523.7
Oil and petroleum products,37.9,878.4,56.8,5.0,44.4,100.1,1.7,31.8,1156.1,1124.3
Biofuels,78.3,42.9,0.0,0.0,229.8,20.0,0.0,0.0,371.0,371.0
Renewables,0.0,0.0,0.0,0.0,14.8,0.0,0.0,0.0,14.8,14.8
Electricity,215.1,0.1,0.0,12.7,297.6,6.9,43.9,47.9,624.2,576.3
Heat,36.3,0.0,0.0,0.0,196.4,0.8,19.8,6.1,259.4,253.3
Non-renewable waste,34.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,34.3,34.3
