Carrier,Industry,Transport - road,Transport - international aviation and navigation,Transport - other,Buildings,Agriculture,Energy sector - energy use,Carrier production - self-consumption,Gross total,Net total
Coal and coal products,124.4,0.0,0.0,0.0,247.7,32.7,39.2,0.7,444.7,443.9
Natural gas,265.4,0.9,0.0,14.8,223.4,1.9,47.1,20.8,574.3,553.4
Oil and petroleum products,35.9,837.9,31.7,4.3,42.0,100.7,1.2,33.2,1086.9,1053.7
Biofuels,84.2,43.5,0.0,0.0,213.6,20.4,0.0,0.0,361.7,361.7
Renewables,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,16.8,16.8
Electricity,207.7,0.3,0.0,11.8,298.0,7.0,41.6,45.3,611.7,566.4
Heat,35.8,0.0,0.0,0.0,198.0,0.8,19.5,5.8,259.9,254.1
Non-renewable waste,33.4,0.0,0.0,0.0,1.4,0.0,0.0,0.0,34.8,34.8
