Carrier,Primary energy supply [PJ]
Coal and coal products,1922.3
Natural gas,763.3
Oil and petroleum products,1324.0
Biofuels,527.4
Renewables,20.3
Electricity,3.2
Heat,1.4
Non-renewable waste,41.2
