Carrier,Primary energy supply [PJ]
Coal and coal products,1835.5
Natural gas,679.4
Oil and petroleum products,1322.0
Biofuels,517.0
Renewables,14.8
Electricity,38.2
Heat,0.9
Non-renewable waste,44.6
