Carrier,Gross available energy,International maritime bunkers,International aviation,Transformation output,Transformation input - energy use,Energy sector - energy use,Energy sector - electricity and heat generation - energy use,Energy sector - coal mines - energy use,Energy sector - oil and natural gas extraction plants - energy use,Energy sector - petroleum refineries (oil refineries) - energy use,Distribution losses,Available for final consumption,"Transformation input, energy sector and final consumption in industry sector - non-energy use",Final consumption - transport sector - non-energy use,Final consumption - other sectors - non-energy use,Final consumption - industry sector - energy use,Final consumption - transport sector - rail - energy use,Final consumption - transport sector - road - energy use,Final consumption - transport sector - domestic aviation - energy use,Final consumption - transport sector - pipeline transport - energy use,Final consumption - other sectors - commercial and public services - energy use,Final consumption - other sectors - households - energy use,Final consumption - other sectors - agriculture and forestry - energy use,Statistical differences,Residual balance,Residual consumption
Ambient heat (heat pumps),10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,9.9,0.0,0.0,0.0,-0.0
Electricity,38.2,0.0,0.0,590.4,3.7,87.2,45.5,18.4,0.7,6.3,32.2,505.5,0.0,0.0,0.0,204.0,11.3,0.1,0.0,0.8,176.7,105.8,6.6,0.0,0.0,0.2
Geothermal,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,0.0,0.0,0.0,0.0
Heat,0.9,0.0,0.0,287.1,1.8,25.9,6.1,3.1,0.0,0.0,26.8,233.5,0.0,0.0,0.0,36.3,0.0,0.0,0.0,0.0,44.4,152.0,0.8,0.0,0.0,0.0
Manufactured gases,0.0,0.0,0.0,94.9,36.3,39.8,0.0,0.0,0.0,0.0,0.0,18.9,0.0,0.0,0.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0
Natural gas,679.4,0.0,0.0,0.0,139.2,61.5,0.1,0.3,15.7,42.9,0.4,478.3,78.3,0.0,0.0,163.7,0.0,0.7,0.0,15.5,56.5,152.3,1.6,9.6,0.0,0.1
Non-renewable waste,44.6,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,34.3,0.0,0.0,0.0,34.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,-0.0
Oil and petroleum products (excluding biofuel portion),1322.0,11.6,45.1,1297.3,1309.9,33.5,0.9,0.9,0.1,31.7,0.0,1219.4,136.3,5.5,11.6,37.9,3.6,877.3,1.4,0.0,17.1,27.2,100.0,1.4,-0.2,0.1
Renewables and biofuels,531.8,0.0,0.0,38.6,184.5,0.0,0.0,0.0,0.0,0.0,0.0,385.9,0.0,0.0,0.0,78.3,0.0,42.9,0.0,0.0,11.4,233.2,20.0,0.0,0.0,0.1
Solar thermal,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.8,0.0,0.0,0.0,0.0
Solid fossil fuels,1835.5,0.0,0.0,263.4,1714.5,5.2,0.9,1.0,0.0,0.7,0.0,379.3,2.7,0.0,0.0,117.1,0.0,0.0,0.0,0.0,20.6,208.5,30.8,0.0,-0.1,-0.4
