Carrier,Industry,Transport - road,Transport - international aviation and navigation,Transport - other,Buildings,Agriculture,Energy sector - energy use,Carrier production - self-consumption,Gross total,Net total
Coal and coal products,130.1,0.0,0.0,0.0,237.4,26.6,45.8,0.8,440.7,439.8
Natural gas,269.1,1.2,0.0,12.2,268.0,2.3,37.8,22.4,613.2,590.8
Oil and petroleum products,38.2,915.8,38.5,5.1,44.2,101.6,1.1,36.9,1181.5,1144.6
Biofuels,67.3,46.9,0.0,0.0,218.8,24.2,0.0,0.0,357.2,357.2
Renewables,0.0,0.0,0.0,0.0,20.2,0.0,0.0,0.0,20.2,20.2
Electricity,213.7,0.2,0.0,12.6,315.8,2.6,51.5,48.6,645.1,596.5
Heat,38.5,0.0,0.0,0.0,210.8,0.8,21.7,5.0,276.8,271.8
Non-renewable waste,31.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,31.7,31.7
