Carrier,Gross available energy,International maritime bunkers,International aviation,Transformation output,Transformation input - energy use,Energy sector - energy use,Energy sector - electricity and heat generation - energy use,Energy sector - coal mines - energy use,Energy sector - oil and natural gas extraction plants - energy use,Energy sector - petroleum refineries (oil refineries) - energy use,Distribution losses,Available for final consumption,"Transformation input, energy sector and final consumption in industry sector - non-energy use",Final consumption - transport sector - non-energy use,Final consumption - other sectors - non-energy use,Final consumption - industry sector - energy use,Final consumption - transport sector - rail - energy use,Final consumption - transport sector - road - energy use,Final consumption - transport sector - domestic aviation - energy use,Final consumption - transport sector - pipeline transport - energy use,Final consumption - other sectors - commercial and public services - energy use,Final consumption - other sectors - households - energy use,Final consumption - other sectors - agriculture and forestry - energy use,Statistical differences,Residual balance,Residual consumption
Ambient heat (heat pumps),12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,11.6,0.0,0.0,0.0,0.1
Electricity,47.8,0.0,0.0,569.0,4.3,82.1,42.8,17.0,1.3,6.1,36.0,494.4,0.0,0.0,0.0,195.5,10.4,0.3,0.0,0.7,172.8,108.0,6.6,0.0,0.0,0.1
Geothermal,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,0.0,0.0,0.0,0.0
Heat,1.1,0.0,0.0,285.9,1.8,25.3,5.8,3.0,0.0,0.3,25.4,234.6,0.0,0.0,0.0,35.8,0.0,0.0,0.0,0.0,45.7,152.3,0.8,0.0,-0.1,-0.0
Manufactured gases,0.0,0.0,0.0,81.8,30.5,34.9,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,15.9,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,-0.1,0.0
Natural gas,730.2,0.0,0.0,0.0,154.6,63.6,0.0,0.1,19.5,41.1,0.4,511.6,85.9,0.0,0.0,161.5,0.0,0.8,0.0,13.8,47.9,160.8,1.8,39.0,0.0,0.1
Non-renewable waste,44.8,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,34.8,0.0,0.0,0.0,33.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0
Oil and petroleum products (excluding biofuel portion),1245.1,12.6,19.1,1233.4,1247.4,34.4,0.3,0.9,0.1,33.1,0.0,1165.0,134.2,5.1,12.9,35.9,3.5,837.9,0.8,0.0,16.2,25.8,100.7,0.0,0.0,-8.0
Renewables and biofuels,542.2,0.0,0.0,40.4,204.1,0.0,0.0,0.0,0.0,0.0,0.0,378.5,0.0,0.0,0.0,84.2,0.0,43.5,0.0,0.0,11.6,218.8,20.4,0.0,0.0,0.0
Solar thermal,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.1,0.0,0.0,0.0,0.1
Solid fossil fuels,1713.0,0.0,0.0,230.0,1545.2,3.7,0.0,0.7,0.0,0.5,0.0,394.2,4.4,0.0,0.1,104.4,0.0,0.0,0.0,0.0,21.3,217.7,31.6,14.7,-0.1,-0.0
