Carrier,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Electricity,298.0,299.961,301.925,303.892,305.862,307.835,309.811,311.79,313.773,315.759,317.749,318.947,320.141,321.331,322.517,323.7,324.879,326.054,327.226,328.394,329.56,330.722,331.881,333.037,334.191,335.341,336.489,337.635,338.778,339.918,341.057
Heat - space,607.68,604.642,601.618,598.61,595.617,592.639,589.676,586.728,583.794,580.875,577.971,575.081,572.205,569.344,566.498,563.665,560.847,558.043,555.252,552.476,549.714,546.965,544.23,541.509,538.802,536.108,533.427,530.76,528.106,525.466,522.838
Heat - water,151.92,152.68,153.443,154.21,154.981,155.756,156.535,157.318,158.104,158.895,159.689,160.088,160.489,160.89,161.292,161.695,162.1,162.505,162.911,163.318,163.727,164.136,164.546,164.958,165.37,165.783,166.198,166.613,167.03,167.448,167.866
Natural gas - electrifiable,46.9,46.192,45.494,44.807,44.131,43.464,42.808,42.162,41.525,40.898,40.28,39.574,38.879,38.197,37.526,36.868,36.221,35.585,34.961,34.347,33.744,33.152,32.57,31.999,31.437,30.885,30.343,29.811,29.288,28.774,28.269
