Carrier,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Biofuels,44.4,44.844,45.292,45.745,46.203,46.665,47.131,47.603,48.079,48.56,49.045,49.29,49.537,49.785,50.034,50.284,50.535,50.788,51.042,51.297,51.553,51.553,51.553,51.553,51.553,51.553,51.553,51.553,51.553,51.553,51.553
Electricity,12.6,13.195,13.791,14.388,14.987,15.587,16.188,16.791,17.395,18.001,18.609,19.123,19.634,20.14,20.643,21.143,21.639,22.131,22.621,23.107,23.589,23.949,24.302,24.648,24.986,25.318,25.644,25.962,26.275,26.581,26.881
Hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.859,1.724,2.596,3.475,4.36,5.251,6.15,7.054,7.966,8.884,12.389,15.859,19.295,22.696,26.062,29.396,32.696,35.963,39.197,42.399
Light vehicle energy,138.2,139.582,140.978,142.388,143.811,145.25,146.702,148.169,149.651,151.147,152.659,153.422,154.189,154.96,155.735,156.514,157.296,158.083,158.873,159.667,160.466,160.466,160.466,160.466,160.466,160.466,160.466,160.466,160.466,160.466,160.466
Natural gas - electrifiable,3.04,3.009,2.978,2.948,2.918,2.888,2.859,2.829,2.801,2.772,2.744,2.702,2.662,2.621,2.582,2.543,2.504,2.467,2.429,2.393,2.357,2.309,2.263,2.218,2.174,2.13,2.087,2.046,2.005,1.965,1.925
Oil and petroleum products - electrifiable,74.34,73.582,72.831,72.088,71.353,70.625,69.905,69.192,68.486,67.787,67.096,66.083,65.085,64.102,63.134,62.181,61.242,60.317,59.407,58.509,57.626,56.473,55.344,54.237,53.152,52.089,51.048,50.027,49.026,48.046,47.085
Natural gas - hydrogenizable,12.16,12.282,12.404,12.528,12.654,12.78,12.908,13.037,13.168,13.299,13.432,13.466,13.499,13.533,13.566,13.6,13.634,13.668,13.702,13.736,13.77,13.632,13.496,13.361,13.227,13.095,12.964,12.835,12.706,12.579,12.453
Oil and petroleum products - hydrogenizable,297.36,300.334,303.337,306.37,309.434,312.528,315.654,318.81,321.998,325.218,328.47,329.288,330.107,330.928,331.751,332.576,333.403,334.233,335.064,335.898,336.733,333.366,330.032,326.732,323.465,320.23,317.028,313.857,310.719,307.612,304.535
