Carrier,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Biofuels,142.5,143.3,144.2,145.0,145.8,146.7,147.6,148.4,149.3,150.2,151.1,150.8,150.5,150.2,149.9,149.7,149.4,149.2,148.9,148.7,148.4,147.7,147.1,146.4,145.8,145.2,144.6,144.0,143.5,142.9,142.4
Coal and coal products,203.2,202.6,202.0,201.4,200.9,200.3,199.8,199.2,198.6,198.1,197.6,193.0,188.6,184.3,180.1,176.0,172.0,168.1,164.2,160.5,156.9,152.6,148.4,144.3,140.3,136.4,132.7,129.0,125.4,122.0,118.6
Electricity,574.0,580.3,586.7,593.0,599.4,605.8,612.1,618.5,624.9,631.3,637.8,647.7,657.4,666.9,676.1,685.1,693.9,702.5,710.9,719.1,727.1,734.6,742.1,749.3,756.4,763.3,770.1,776.7,783.2,789.5,795.7
Heat - space,654.1,651.3,648.5,645.7,642.9,640.2,637.5,634.8,632.1,629.4,626.7,603.7,581.6,560.5,540.1,520.6,501.9,483.9,466.7,450.1,434.2,419.0,404.3,390.3,376.8,363.9,351.5,339.6,328.1,317.2,306.7
Heat - water,163.5,164.3,165.2,166.0,166.8,167.6,168.5,169.3,170.2,171.0,171.9,172.3,172.7,173.2,173.6,174.0,174.5,174.9,175.3,175.8,176.2,176.7,177.1,177.5,178.0,178.4,178.9,179.3,179.8,180.2,180.7
Hydrogen,124.8,125.4,126.1,126.7,127.3,128.0,128.6,129.2,129.9,130.5,131.2,137.9,144.5,150.8,157.0,163.0,168.9,174.6,180.1,185.4,190.6,200.3,209.4,217.9,225.9,233.4,240.5,247.1,253.3,259.1,264.5
Light vehicle energy,138.2,139.6,141.0,142.4,143.8,145.2,146.7,148.2,149.7,151.1,152.7,151.1,149.6,148.1,146.6,145.2,143.7,142.3,140.9,139.5,138.1,135.3,132.6,129.9,127.3,124.8,122.3,119.9,117.5,115.1,112.8
Natural gas,189.8,188.9,187.9,187.0,186.1,185.2,184.4,183.5,182.7,181.8,181.0,176.1,171.3,166.7,162.2,157.9,153.7,149.6,145.6,141.7,138.0,133.6,129.4,125.3,121.4,117.6,113.9,110.3,106.9,103.6,100.3
Oil and petroleum products,511.1,512.7,514.4,516.1,517.8,519.6,521.4,523.3,525.2,527.2,529.2,514.9,501.1,487.7,474.6,462.0,449.7,437.8,426.3,415.1,404.2,386.2,369.0,352.7,337.1,322.2,308.1,294.6,281.7,269.4,257.7
