Carrier,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Electricity,298.0,299.961,301.925,303.892,305.862,307.835,309.811,311.79,313.773,315.759,317.749,319.149,320.536,321.91,323.272,324.621,325.96,327.287,328.603,329.909,331.205,332.49,333.767,335.035,336.293,337.543,338.786,340.02,341.246,342.466,343.678
Heat - space,607.68,604.642,601.618,598.61,595.617,592.639,589.676,586.728,583.794,580.875,577.971,563.521,549.433,535.697,522.305,509.247,496.516,484.103,472.001,460.201,448.696,437.478,426.541,415.878,405.481,395.344,385.46,375.824,366.428,357.267,348.336
Heat - water,151.92,152.68,153.443,154.21,154.981,155.756,156.535,157.318,158.104,158.895,159.689,160.088,160.489,160.89,161.292,161.695,162.1,162.505,162.911,163.318,163.727,164.136,164.546,164.958,165.37,165.783,166.198,166.613,167.03,167.448,167.866
Natural gas - electrifiable,46.9,46.192,45.494,44.807,44.131,43.464,42.808,42.162,41.525,40.898,40.28,39.17,38.09,37.039,36.018,35.025,34.059,33.12,32.206,31.318,30.455,29.615,28.798,28.004,27.232,26.481,25.751,25.041,24.35,23.679,23.026
