Carrier,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Biofuels,142.5,143.3,144.2,145.0,145.8,146.7,147.6,148.4,149.3,150.2,151.1,151.3,151.5,151.7,151.9,152.1,152.3,152.5,152.7,152.9,153.1,152.8,152.5,152.3,152.0,151.7,151.5,151.2,151.0,150.7,150.5
Coal and coal products,203.2,202.6,202.0,201.4,200.9,200.3,199.8,199.2,198.6,198.1,197.6,194.9,192.2,189.6,187.1,184.6,182.1,179.7,177.3,174.9,172.6,169.5,166.4,163.4,160.4,157.5,154.6,151.8,149.0,146.3,143.7
Electricity,574.0,580.3,586.7,593.0,599.4,605.8,612.1,618.5,624.9,631.3,637.8,645.3,652.8,660.1,667.4,674.5,681.5,688.5,695.4,702.1,708.8,715.1,721.4,727.6,733.7,739.6,745.6,751.4,757.2,762.8,768.4
Heat - space,654.1,651.3,648.5,645.7,642.9,640.2,637.5,634.8,632.1,629.4,626.7,612.4,598.4,584.8,571.5,558.6,546.0,533.7,521.7,510.0,498.7,487.6,476.7,466.2,455.9,445.9,436.2,426.6,417.4,408.3,399.5
Heat - water,163.5,164.3,165.2,166.0,166.8,167.6,168.5,169.3,170.2,171.0,171.9,172.3,172.7,173.2,173.6,174.0,174.5,174.9,175.3,175.8,176.2,176.7,177.1,177.5,178.0,178.4,178.9,179.3,179.8,180.2,180.7
Hydrogen,124.8,125.4,126.1,126.7,127.3,128.0,128.6,129.2,129.9,130.5,131.2,133.7,136.1,138.6,141.1,143.5,146.0,148.4,150.8,153.2,155.7,164.0,172.1,179.9,187.4,194.7,201.8,208.6,215.1,221.5,227.6
Light vehicle energy,138.2,139.6,141.0,142.4,143.8,145.2,146.7,148.2,149.7,151.1,152.7,152.7,152.7,152.7,152.7,152.7,152.7,152.7,152.7,152.7,152.7,151.1,149.6,148.1,146.6,145.2,143.7,142.3,140.9,139.5,138.1
Natural gas,189.8,188.9,187.9,187.0,186.1,185.2,184.4,183.5,182.7,181.8,181.0,178.1,175.2,172.4,169.6,166.9,164.3,161.7,159.1,156.6,154.2,151.0,147.8,144.8,141.7,138.8,135.9,133.1,130.3,127.7,125.0
Oil and petroleum products,511.1,512.7,514.4,516.1,517.8,519.6,521.4,523.3,525.2,527.2,529.2,523.7,518.2,512.9,507.6,502.5,497.4,492.5,487.6,482.8,478.2,464.5,451.2,438.3,425.8,413.6,401.8,390.4,379.3,368.5,358.1
