Carrier,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Biofuels,142.5,143.3,144.2,145.0,145.8,146.7,147.6,148.4,149.3,150.2,151.1,151.5,152.0,152.4,152.9,153.3,153.8,154.2,154.7,155.1,155.6,155.8,156.0,156.2,156.4,156.6,156.9,157.1,157.3,157.5,157.7
Coal and coal products,203.2,202.6,202.0,201.4,200.9,200.3,199.8,199.2,198.6,198.1,197.6,196.3,195.0,193.7,192.4,191.2,190.0,188.7,187.5,186.4,185.2,183.6,182.0,180.4,178.8,177.3,175.7,174.2,172.7,171.2,169.8
Electricity,574.0,580.3,586.7,593.0,599.4,605.8,612.1,618.5,624.9,631.3,637.8,642.8,647.9,652.9,657.9,662.8,667.8,672.7,677.5,682.4,687.2,691.9,696.6,701.2,705.8,710.4,715.0,719.5,724.1,728.5,733.0
Heat - space,654.1,651.3,648.5,645.7,642.9,640.2,637.5,634.8,632.1,629.4,626.7,623.9,621.2,618.4,615.7,613.0,610.3,607.6,605.0,602.3,599.7,597.0,594.4,591.8,589.3,586.7,584.1,581.6,579.1,576.5,574.0
Heat - water,163.5,164.3,165.2,166.0,166.8,167.6,168.5,169.3,170.2,171.0,171.9,172.3,172.7,173.2,173.6,174.0,174.5,174.9,175.3,175.8,176.2,176.7,177.1,177.5,178.0,178.4,178.9,179.3,179.8,180.2,180.7
Hydrogen,124.8,125.4,126.1,126.7,127.3,128.0,128.6,129.2,129.9,130.5,131.2,132.6,134.0,135.4,136.9,138.3,139.8,141.2,142.7,144.2,145.6,150.4,155.1,159.7,164.3,168.9,173.5,178.0,182.5,186.9,191.3
Light vehicle energy,138.2,139.6,141.0,142.4,143.8,145.2,146.7,148.2,149.7,151.1,152.7,153.4,154.2,155.0,155.7,156.5,157.3,158.1,158.9,159.7,160.5,160.5,160.5,160.5,160.5,160.5,160.5,160.5,160.5,160.5,160.5
Natural gas,189.8,188.9,187.9,187.0,186.1,185.2,184.4,183.5,182.7,181.8,181.0,179.6,178.2,176.8,175.5,174.1,172.8,171.5,170.2,168.9,167.7,166.0,164.4,162.7,161.1,159.5,157.9,156.4,154.8,153.3,151.8
Oil and petroleum products,511.1,512.7,514.4,516.1,517.8,519.6,521.4,523.3,525.2,527.2,529.2,527.5,525.9,524.3,522.8,521.3,519.9,518.5,517.1,515.8,514.6,508.4,502.3,496.3,490.4,484.6,478.8,473.2,467.6,462.1,456.6
