Carrier,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Biofuels,39.6,39.8,40.0,40.3,40.5,40.7,41.0,41.2,41.5,41.7,42.0,41.9,41.8,41.7,41.6,41.6,41.5,41.4,41.4,41.3,41.2,41.0,40.9,40.7,40.5,40.3,40.2,40.0,39.8,39.7,39.6
Coal and coal products,56.4,56.3,56.1,56.0,55.8,55.6,55.5,55.3,55.2,55.0,54.9,53.6,52.4,51.2,50.0,48.9,47.8,46.7,45.6,44.6,43.6,42.4,41.2,40.1,39.0,37.9,36.8,35.8,34.8,33.9,32.9
Electricity,159.4,161.2,163.0,164.7,166.5,168.3,170.0,171.8,173.6,175.4,177.2,179.9,182.6,185.2,187.8,190.3,192.7,195.1,197.5,199.7,202.0,204.1,206.1,208.1,210.1,212.0,213.9,215.7,217.5,219.3,221.0
Heat - space,181.7,180.9,180.1,179.4,178.6,177.8,177.1,176.3,175.6,174.8,174.1,167.7,161.6,155.7,150.0,144.6,139.4,134.4,129.6,125.0,120.6,116.4,112.3,108.4,104.7,101.1,97.6,94.3,91.2,88.1,85.2
Heat - water,45.4,45.6,45.9,46.1,46.3,46.6,46.8,47.0,47.3,47.5,47.7,47.9,48.0,48.1,48.2,48.3,48.5,48.6,48.7,48.8,48.9,49.1,49.2,49.3,49.4,49.6,49.7,49.8,49.9,50.1,50.2
Hydrogen,34.7,34.8,35.0,35.2,35.4,35.5,35.7,35.9,36.1,36.3,36.4,38.3,40.1,41.9,43.6,45.3,46.9,48.5,50.0,51.5,53.0,55.6,58.2,60.5,62.8,64.8,66.8,68.6,70.4,72.0,73.5
Light vehicle energy,38.4,38.8,39.2,39.6,39.9,40.3,40.8,41.2,41.6,42.0,42.4,42.0,41.6,41.1,40.7,40.3,39.9,39.5,39.1,38.7,38.4,37.6,36.8,36.1,35.4,34.7,34.0,33.3,32.6,32.0,31.3
Natural gas,52.7,52.5,52.2,51.9,51.7,51.5,51.2,51.0,50.7,50.5,50.3,48.9,47.6,46.3,45.1,43.9,42.7,41.5,40.4,39.4,38.3,37.1,35.9,34.8,33.7,32.7,31.6,30.6,29.7,28.8,27.9
Oil and petroleum products,142.0,142.4,142.9,143.4,143.8,144.3,144.8,145.4,145.9,146.4,147.0,143.0,139.2,135.5,131.8,128.3,124.9,121.6,118.4,115.3,112.3,107.3,102.5,98.0,93.6,89.5,85.6,81.8,78.2,74.8,71.6
