Carrier,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Electricity,298.0,299.961,301.925,303.892,305.862,307.835,309.811,311.79,313.773,315.759,317.749,319.351,320.926,322.477,324.003,325.506,326.986,328.445,329.884,331.303,332.703,334.086,335.451,336.799,338.132,339.45,340.753,342.042,343.318,344.582,345.833
Heat - space,607.68,604.642,601.618,598.61,595.617,592.639,589.676,586.728,583.794,580.875,577.971,554.852,532.658,511.351,490.897,471.261,452.411,434.315,416.942,400.264,384.254,368.884,354.128,339.963,326.365,313.31,300.778,288.746,277.197,266.109,255.464
Heat - water,151.92,152.68,153.443,154.21,154.981,155.756,156.535,157.318,158.104,158.895,159.689,160.088,160.489,160.89,161.292,161.695,162.1,162.505,162.911,163.318,163.727,164.136,164.546,164.958,165.37,165.783,166.198,166.613,167.03,167.448,167.866
Natural gas - electrifiable,46.9,46.192,45.494,44.807,44.131,43.464,42.808,42.162,41.525,40.898,40.28,38.766,37.308,35.906,34.555,33.256,32.006,30.802,29.644,28.53,27.457,26.424,25.431,24.475,23.554,22.669,21.816,20.996,20.207,19.447,18.716
