Carrier,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Biofuels,44.4,44.844,45.292,45.745,46.203,46.665,47.131,47.603,48.079,48.56,49.045,49.045,49.045,49.045,49.045,49.045,49.045,49.045,49.045,49.045,49.045,48.555,48.069,47.589,47.113,46.642,46.175,45.713,45.256,44.804,44.356
Electricity,12.6,13.195,13.791,14.388,14.987,15.587,16.188,16.791,17.395,18.001,18.609,19.238,19.847,20.439,21.012,21.569,22.109,22.632,23.14,23.633,24.11,24.328,24.526,24.704,24.863,25.004,25.129,25.238,25.331,25.409,25.474
Hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,3.41,5.103,6.787,8.463,10.13,11.789,13.439,15.081,16.716,22.987,29.004,34.775,40.307,45.609,50.688,55.551,60.205,64.658,68.915
Light vehicle energy,138.2,139.582,140.978,142.388,143.811,145.25,146.702,148.169,149.651,151.147,152.659,152.659,152.659,152.659,152.659,152.659,152.659,152.659,152.659,152.659,152.659,151.132,149.621,148.125,146.643,145.177,143.725,142.288,140.865,139.456,138.062
Natural gas - electrifiable,3.04,3.009,2.978,2.948,2.918,2.888,2.859,2.829,2.801,2.772,2.744,2.661,2.582,2.504,2.429,2.356,2.285,2.217,2.15,2.086,2.023,1.943,1.866,1.792,1.721,1.652,1.587,1.524,1.463,1.405,1.349
Oil and petroleum products - electrifiable,74.34,73.582,72.831,72.088,71.353,70.625,69.905,69.192,68.486,67.787,67.096,65.083,63.131,61.237,59.4,57.618,55.889,54.212,52.586,51.009,49.478,47.514,45.628,43.816,42.077,40.406,38.802,37.262,35.782,34.362,32.998
Natural gas - hydrogenizable,12.16,12.282,12.404,12.528,12.654,12.78,12.908,13.037,13.168,13.299,13.432,13.365,13.298,13.232,13.166,13.1,13.034,12.969,12.904,12.84,12.776,12.395,12.025,11.667,11.319,10.982,10.655,10.337,10.029,9.73,9.44
Oil and petroleum products - hydrogenizable,297.36,300.334,303.337,306.37,309.434,312.528,315.654,318.81,321.998,325.218,328.47,326.828,325.194,323.568,321.95,320.34,318.739,317.145,315.559,313.981,312.412,303.102,294.069,285.306,276.804,268.555,260.552,252.788,245.255,237.946,230.855
