Carrier,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Biofuels,39.6,39.8,40.0,40.3,40.5,40.7,41.0,41.2,41.5,41.7,42.0,42.0,42.1,42.1,42.2,42.2,42.3,42.4,42.4,42.5,42.5,42.4,42.4,42.3,42.2,42.1,42.1,42.0,41.9,41.9,41.8
Coal and coal products,56.4,56.3,56.1,56.0,55.8,55.6,55.5,55.3,55.2,55.0,54.9,54.1,53.4,52.7,52.0,51.3,50.6,49.9,49.2,48.6,48.0,47.1,46.2,45.4,44.6,43.7,42.9,42.2,41.4,40.6,39.9
Electricity,159.4,161.2,163.0,164.7,166.5,168.3,170.0,171.8,173.6,175.4,177.2,179.3,181.3,183.4,185.4,187.4,189.3,191.2,193.2,195.0,196.9,198.7,200.4,202.1,203.8,205.5,207.1,208.7,210.3,211.9,213.5
Heat - space,181.7,180.9,180.1,179.4,178.6,177.8,177.1,176.3,175.6,174.8,174.1,170.1,166.2,162.4,158.8,155.2,151.7,148.2,144.9,141.7,138.5,135.4,132.4,129.5,126.6,123.9,121.2,118.5,115.9,113.4,111.0
Heat - water,45.4,45.6,45.9,46.1,46.3,46.6,46.8,47.0,47.3,47.5,47.7,47.9,48.0,48.1,48.2,48.3,48.5,48.6,48.7,48.8,48.9,49.1,49.2,49.3,49.4,49.6,49.7,49.8,49.9,50.1,50.2
Hydrogen,34.7,34.8,35.0,35.2,35.4,35.5,35.7,35.9,36.1,36.3,36.4,37.1,37.8,38.5,39.2,39.9,40.5,41.2,41.9,42.6,43.2,45.6,47.8,50.0,52.1,54.1,56.0,57.9,59.8,61.5,63.2
Light vehicle energy,38.4,38.8,39.2,39.6,39.9,40.3,40.8,41.2,41.6,42.0,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.0,41.6,41.1,40.7,40.3,39.9,39.5,39.1,38.7,38.4
Natural gas,52.7,52.5,52.2,51.9,51.7,51.5,51.2,51.0,50.7,50.5,50.3,49.5,48.7,47.9,47.1,46.4,45.6,44.9,44.2,43.5,42.8,41.9,41.1,40.2,39.4,38.6,37.8,37.0,36.2,35.5,34.7
Oil and petroleum products,142.0,142.4,142.9,143.4,143.8,144.3,144.8,145.4,145.9,146.4,147.0,145.5,143.9,142.5,141.0,139.6,138.2,136.8,135.4,134.1,132.8,129.0,125.3,121.7,118.3,114.9,111.6,108.4,105.4,102.4,99.5
