Carrier,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Biofuels,44.4,44.844,45.292,45.745,46.203,46.665,47.131,47.603,48.079,48.56,49.045,48.555,48.069,47.589,47.113,46.642,46.175,45.713,45.256,44.804,44.356,43.469,42.599,41.747,40.912,40.094,39.292,38.506,37.736,36.981,36.242
Electricity,12.6,13.195,13.791,14.388,14.987,15.587,16.188,16.791,17.395,18.001,18.609,19.253,19.849,20.4,20.908,21.376,21.805,22.199,22.558,22.885,23.181,23.211,23.211,23.184,23.132,23.056,22.959,22.842,22.707,22.556,22.39
Hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.077,9.978,14.706,19.267,23.665,27.906,31.992,35.93,39.722,43.373,50.321,56.744,62.672,68.132,73.151,77.755,81.967,85.81,89.305,92.473
Light vehicle energy,138.2,139.582,140.978,142.388,143.811,145.25,146.702,148.169,149.651,151.147,152.659,151.132,149.621,148.125,146.643,145.177,143.725,142.288,140.865,139.456,138.062,135.301,132.595,129.943,127.344,124.797,122.301,119.855,117.458,115.109,112.807
Natural gas - electrifiable,3.04,3.009,2.978,2.948,2.918,2.888,2.859,2.829,2.801,2.772,2.744,2.608,2.478,2.355,2.239,2.128,2.022,1.922,1.826,1.736,1.65,1.552,1.46,1.374,1.292,1.216,1.144,1.076,1.012,0.953,0.896
Oil and petroleum products - electrifiable,74.34,73.582,72.831,72.088,71.353,70.625,69.905,69.192,68.486,67.787,67.096,63.768,60.605,57.599,54.742,52.027,49.447,46.994,44.663,42.448,40.342,37.954,35.707,33.593,31.605,29.734,27.973,26.317,24.759,23.294,21.915
Natural gas - hydrogenizable,12.16,12.282,12.404,12.528,12.654,12.78,12.908,13.037,13.168,13.299,13.432,13.098,12.773,12.456,12.146,11.844,11.55,11.263,10.983,10.71,10.444,9.928,9.438,8.971,8.528,8.107,7.706,7.326,6.964,6.62,6.293
Oil and petroleum products - hydrogenizable,297.36,300.334,303.337,306.37,309.434,312.528,315.654,318.81,321.998,325.218,328.47,320.308,312.348,304.586,297.017,289.637,282.439,275.42,268.576,261.902,255.394,242.777,230.784,219.384,208.546,198.244,188.451,179.141,170.292,161.879,153.882
