Carrier,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Biofuels,39.6,39.8,40.0,40.3,40.5,40.7,41.0,41.2,41.5,41.7,42.0,42.1,42.2,42.3,42.5,42.6,42.7,42.8,43.0,43.1,43.2,43.3,43.3,43.4,43.5,43.5,43.6,43.6,43.7,43.7,43.8
Coal and coal products,56.4,56.3,56.1,56.0,55.8,55.6,55.5,55.3,55.2,55.0,54.9,54.5,54.2,53.8,53.5,53.1,52.8,52.4,52.1,51.8,51.4,51.0,50.5,50.1,49.7,49.2,48.8,48.4,48.0,47.6,47.2
Electricity,159.4,161.2,163.0,164.7,166.5,168.3,170.0,171.8,173.6,175.4,177.2,178.6,180.0,181.4,182.7,184.1,185.5,186.9,188.2,189.6,190.9,192.2,193.5,194.8,196.1,197.3,198.6,199.9,201.1,202.4,203.6
Heat - space,181.7,180.9,180.1,179.4,178.6,177.8,177.1,176.3,175.6,174.8,174.1,173.3,172.6,171.8,171.0,170.3,169.5,168.8,168.0,167.3,166.6,165.8,165.1,164.4,163.7,163.0,162.3,161.6,160.8,160.2,159.5
Heat - water,45.4,45.6,45.9,46.1,46.3,46.6,46.8,47.0,47.3,47.5,47.7,47.9,48.0,48.1,48.2,48.3,48.5,48.6,48.7,48.8,48.9,49.1,49.2,49.3,49.4,49.6,49.7,49.8,49.9,50.1,50.2
Hydrogen,34.7,34.8,35.0,35.2,35.4,35.5,35.7,35.9,36.1,36.3,36.4,36.8,37.2,37.6,38.0,38.4,38.8,39.2,39.6,40.0,40.5,41.8,43.1,44.4,45.7,46.9,48.2,49.4,50.7,51.9,53.1
Light vehicle energy,38.4,38.8,39.2,39.6,39.9,40.3,40.8,41.2,41.6,42.0,42.4,42.6,42.8,43.0,43.3,43.5,43.7,43.9,44.1,44.4,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6
Natural gas,52.7,52.5,52.2,51.9,51.7,51.5,51.2,51.0,50.7,50.5,50.3,49.9,49.5,49.1,48.7,48.4,48.0,47.6,47.3,46.9,46.6,46.1,45.7,45.2,44.7,44.3,43.9,43.4,43.0,42.6,42.2
Oil and petroleum products,142.0,142.4,142.9,143.4,143.8,144.3,144.8,145.4,145.9,146.4,147.0,146.5,146.1,145.7,145.2,144.8,144.4,144.0,143.7,143.3,142.9,141.2,139.5,137.9,136.2,134.6,133.0,131.4,129.9,128.3,126.8
